Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
GA-1.3 Evaluación Teórica,Conocimientos Fundamentales,Demuestra comprensión de conceptos básicos de simulación,false,Excelente,Dominio completo de conceptos fundamentales,1.2,Bueno,Dominio parcial de conceptos fundamentales,0.8,Insuficiente,Dominio limitado de conceptos fundamentales,0
GA-1.3 Evaluación Teórica,Aplicación de Teoría,Aplica correctamente la teoría a problemas planteados,false,Excelente,Aplicación correcta y completa,0.8,Bueno,Aplicación parcialmente correcta,0.5,Insuficiente,Aplicación incorrecta o ausente,0
