Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
PE-1.2 Etiquetado de Procesos,Clasificación de Sistemas,Clasifica correctamente los 6 casos según naturaleza (D/C/H) y comportamiento (Det/Est),false,Excelente,Clasifica correctamente los 6 casos con criterios apropiados,1.25,Bueno,Clasifica correctamente 4-5 casos con errores menores,0.9,Regular,Clasifica correctamente 2-3 casos o con errores significativos,0.6,Insuficiente,Clasifica menos de 2 casos correctamente,0.3
PE-1.2 Etiquetado de Procesos,Justificación Técnica,Justifica cada clasificación con argumentos técnicos claros y fundamentados,false,Excelente,Justificaciones claras y técnicamente fundamentadas para todos los casos,1,Bueno,Justificaciones correctas pero superficiales o incompletas en algunos casos,0.7,Regular,Justificaciones básicas o con errores conceptuales,0.5,Insuficiente,No justifica o justificaciones incorrectas,0.2
