Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
TA-1.2 Resumen Crítico Caso de Agentes,Comprensión del Caso,Demuestra comprensión del caso de agentes en 1 página,false,Excelente,Comprensión completa y clara del caso,1.25,Bueno,Comprensión parcial del caso,0.8,Insuficiente,Comprensión limitada o incorrecta,0
TA-1.2 Resumen Crítico Caso de Agentes,Análisis Crítico,Presenta análisis crítico fundamentado del caso,false,Excelente,Análisis crítico profundo y fundamentado,1,Bueno,Análisis crítico parcialmente desarrollado,0.6,Insuficiente,Análisis crítico superficial o ausente,0
